,Unnamed: 0,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location,Unnamed: 0.1
189,189,7 0 9 5 - 1 0 - T A M A N   K I R A N A,PERUMAHAN SATELIT JAYA SDN. BHD.,7095,7095/03-2025/0181(R),13 Mar 2022,12 Mar 2025,-,-,-,"7095-10,",SIAP DENGAN: CCC PENUH,7095-10/1011/2013(04),30 Apr 2012,29 Apr 2013,"RM 87,360.00",0.00mps,RUMAH TERES,1.0,0,0,0,55.0,55.0,"118,720.00","244,160.00",94.55,,,https://teduh.kpkt.gov.my/project-swasta/7095-10,"(272, '7095-10')",
190,190,7 0 9 5 - 1 0 - T A M A N   K I R A N A,PERUMAHAN SATELIT JAYA SDN. BHD.,7095,7095/03-2025/0181(R),13 Mar 2022,12 Mar 2025,-,-,-,"7095-10,",SIAP DENGAN: CCC PENUH,7095-10/1011/2013(04),30 Apr 2012,29 Apr 2013,"RM 87,360.00",0.00mps,RUMAH TERES,1.0,0,0,0,60.0,60.0,"136,640.00","303,520.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7095-10,"(272, '7095-10')",
191,191,7 0 9 5 - 1 0 - T A M A N   K I R A N A,PERUMAHAN SATELIT JAYA SDN. BHD.,7095,7095/03-2025/0181(R),13 Mar 2022,12 Mar 2025,-,-,-,"7095-10,",SIAP DENGAN: CCC PENUH,7095-10/1011/2013(04),30 Apr 2012,29 Apr 2013,"RM 87,360.00",0.00mps,RUMAH TERES,1.0,0,0,0,40.0,40.0,"100,800.00","187,040.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7095-10,"(272, '7095-10')",
192,192,7 0 9 5 - 1 0 - T A M A N   K I R A N A,PERUMAHAN SATELIT JAYA SDN. BHD.,7095,7095/03-2025/0181(R),13 Mar 2022,12 Mar 2025,-,-,-,"7095-10,",SIAP DENGAN: CCC PENUH,7095-10/1011/2013(04),30 Apr 2012,29 Apr 2013,"RM 87,360.00",0.00mps,RUMAH TERES,1.0,0,0,0,46.0,46.0,"87,360.00","168,000.00",93.48,,,https://teduh.kpkt.gov.my/project-swasta/7095-10,"(272, '7095-10')",
193,193,7 1 3 1 - 5 7 - T A M A N   K T G R,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-57,",SIAP DENGAN: CFO PENUH,7131-57/174/2009(10),21 Jan 2009,01 Oct 2009,"RM 312,216.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,20.0,20.0,"312,216.00","640,735.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-57,"(273, '7131-57')",
194,194,7 1 3 1 - 5 7 - T A M A N   K T G R,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-57,",SIAP DENGAN: CFO PENUH,7131-57/174/2009(10),21 Jan 2009,01 Oct 2009,"RM 312,216.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,15.0,15.0,"398,703.00","795,330.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-57,"(273, '7131-57')",
195,195,7 1 3 1 - 6 0 - T A M A N   M U R N I   P E R D A N A   F A S A   3 B 1,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-60,",SIAP DENGAN: CFO PENUH,7131-60/1677/2008(08),09 Aug 2007,08 Aug 2008,"RM 199,000.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,32.0,32.0,"199,000.00","232,265.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-60,"(274, '7131-60')",
196,196,7 1 3 1 - 6 0 - T A M A N   M U R N I   P E R D A N A   F A S A   3 B 1,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-60,",SIAP DENGAN: CFO PENUH,7131-60/1677/2008(08),09 Aug 2007,08 Aug 2008,"RM 199,000.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,6.0,6.0,"255,000.00","294,355.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-60,"(274, '7131-60')",
197,197,7 1 3 1 - 6 6 - T A M A N   M U R N I   P E R D A N A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-66,",SIAP DENGAN: CCC PENUH,7131-66/378/2012(02),25 Feb 2011,24 Feb 2012,"RM 310,000.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,32.0,32.0,"310,000.00","550,000.00",91.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-66,"(275, '7131-66')",
198,198,7 1 3 1 - 6 6 - T A M A N   M U R N I   P E R D A N A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-66,",SIAP DENGAN: CCC PENUH,7131-66/378/2012(02),25 Feb 2011,24 Feb 2012,"RM 310,000.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,8.0,8.0,"425,000.00","672,000.00",91.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-66,"(275, '7131-66')",
199,199,7 1 3 1 - 6 7 - T A M A N   K U A L A   T E R E N G G A N U   G O L F   R E S O R T,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-67,",SIAP DENGAN: CCC PENUH,7131-67/2517/2010(12),15 Dec 2009,14 Dec 2010,"RM 450,000.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,8.0,8.0,"450,000.00","814,564.00",90.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-67,"(276, '7131-67')",
200,200,7 1 3 1 - 6 8 - T A M A N   M U R N I   P E R D A N A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-68,",SIAP DENGAN: CFO PENUH,7131-68/98/2013(01),11 Jan 2012,10 Jan 2013,"RM 42,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,44.0,44.0,"42,000.00","60,000.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-68,"(277, '7131-68')",
201,201,7 1 3 1 - 7 0 - T A M A N   K U A L A   T E R E N G G A N U   G O L F   R E S O R T   F A S A   4   Z O N   A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-70,",SIAP DENGAN: CCC PENUH,7131-70/99/2013(01),11 Jan 2012,10 Jan 2013,"RM 490,000.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,27.0,27.0,"490,000.00","784,432.00",90.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-70,"(278, '7131-70')",
202,202,7 1 3 1 - 7 3 - T A M A N   M U R N I   P E R D A N A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-73,",SIAP DENGAN: CCC PENUH,7131-73/2035/2012(10),07 Oct 2011,06 Oct 2012,"RM 377,430.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,20.0,0.0,"377,430.00","532,250.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-73,"(279, '7131-73')",
203,203,7 1 3 1 - 7 3 - T A M A N   M U R N I   P E R D A N A,UDA HOLDINGS BERHAD,7131,7131/08-2027/0993(R),14 Aug 2019,13 Aug 2027,-,-,-,"7131-73,",SIAP DENGAN: CCC PENUH,7131-73/2035/2012(10),07 Oct 2011,06 Oct 2012,"RM 377,430.00",0.00mps,RUMAH SESEBUAH,2.0,0,0,0,4.0,0.0,"505,350.00","556,400.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7131-73,"(279, '7131-73')",
204,204,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,36.0,36.0,"85,000.00","102,000.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
205,205,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,69.0,69.0,"65,000.00","83,100.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
206,206,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,420.0,420.0,"32,000.00","46,600.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
207,207,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,94.0,94.0,"49,000.00","68,200.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
208,208,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,39.0,39.0,"64,700.00","81,900.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
209,209,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,25.0,25.0,"64,700.00","81,900.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
210,210,7 5 3 8 - 1 - T A M A N   R A K Y A T   J A Y A,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-1,",SIAP DENGAN: CFO PENUH,7538-1/1710/2003(08),02 Aug 2002,01 Aug 2003,"RM 32,000.00",0.00mps,RUMAH KEDAI (G),1.0,0,0,0,15.0,15.0,"95,000.00","110,300.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-1,"(280, '7538-1')",
211,211,7 5 3 8 - 1 0 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-10,",BERJALAN LANCAR,7538-10/11-2023/0858(P),25 Nov 2021,24 Nov 2023,"RM 327,300.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,24.0,24.0,"327,300.00","332,800.00",92.5,"[""4.265490, 103.428700""]",,https://teduh.kpkt.gov.my/project-swasta/7538-10,"(429, '7538-10')",
212,212,7 5 3 8 - 1 0 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-10,",BERJALAN LANCAR,7538-10/11-2023/0858(P),25 Nov 2021,24 Nov 2023,"RM 327,300.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,2.0,2.0,"389,000.00","433,000.00",92.5,"[""4.265490, 103.428700""]",,https://teduh.kpkt.gov.my/project-swasta/7538-10,"(429, '7538-10')",
213,213,7 5 3 8 - 1 1 - T A M A N   K O P E R A T   U K H W A H,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-11,",SIAP DENGAN: CCC PENUH,7538-11/12-2023/0922(P),16 Dec 2021,15 Dec 2023,"RM 317,000.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,8.0,8.0,"317,000.00","350,300.00",100.0,"[""4.794561, 103.387824""]",,https://teduh.kpkt.gov.my/project-swasta/7538-11,"(380, '7538-11')",
214,214,7 5 3 8 - 1 2 - D E S A   K O P E R A T   I D A M A N,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-12,",BERJALAN LANCAR,7538-12/09-2025/1061(N)-(L),21 Sep 2023,20 Sep 2025,"RM 434,000.00",174.08mps - 267.13mps,RUMAH TERES,2.0,0,0,174 - 176,5.0,4.0,"434,000.00","434,000.00",68.0,"[""5.381298, 103.099558""]",,https://teduh.kpkt.gov.my/project-swasta/7538-12,"(453, '7538-12')",
215,215,7 5 3 8 - 1 2 - D E S A   K O P E R A T   I D A M A N,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-12,",BERJALAN LANCAR,7538-12/09-2025/1061(N)-(L),21 Sep 2023,20 Sep 2025,"RM 434,000.00",174.08mps - 267.13mps,RUMAH TERES,2.0,0,0,181,1.0,0.0,"478,000.00","478,000.00",60.0,"[""5.381298, 103.099558""]",,https://teduh.kpkt.gov.my/project-swasta/7538-12,"(453, '7538-12')",
216,216,7 5 3 8 - 1 2 - D E S A   K O P E R A T   I D A M A N,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-12,",BERJALAN LANCAR,7538-12/09-2025/1061(N)-(L),21 Sep 2023,20 Sep 2025,"RM 434,000.00",174.08mps - 267.13mps,RUMAH KEDAI (G),2.0,3,2,228 - 267,7.0,1.0,"560,000.00","616,000.00",72.86,"[""5.381298, 103.099558""]",,https://teduh.kpkt.gov.my/project-swasta/7538-12,"(453, '7538-12')",
217,217,7 5 3 8 - 1 2 - D E S A   K O P E R A T   I D A M A N,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-12,",BERJALAN LANCAR,7538-12/09-2025/1061(N)-(L),21 Sep 2023,20 Sep 2025,"RM 434,000.00",174.08mps - 267.13mps,RUMAH TERES,2.0,0,0,181,1.0,1.0,"478,000.00","478,000.00",80.0,"[""5.381298, 103.099558""]",,https://teduh.kpkt.gov.my/project-swasta/7538-12,"(453, '7538-12')",
218,218,7 5 3 8 - 1 3 - T A M A N   K O P E R A T   I M P I A N,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-13,",BERJALAN LANCAR,7538-13/10-2025/1121(N)-(L),09 Oct 2023,08 Oct 2025,"RM 238,900.00",96.27mps - 119.96mps,RUMAH TERES,1.0,0,0,96 - 120,96.0,88.0,"238,900.00","311,200.00",28.44,"[""5.759773, 102.526300""]",,https://teduh.kpkt.gov.my/project-swasta/7538-13,"(454, '7538-13')",
219,219,7 5 3 8 - 4 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-4,",SIAP DENGAN: CFO PENUH,7538-4/2024/2003(09),10 Sep 2002,09 Sep 2003,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,102.0,102.0,"30,000.00","50,350.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-4,"(281, '7538-4')",
220,220,7 5 3 8 - 4 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-4,",SIAP DENGAN: CFO PENUH,7538-4/2024/2003(09),10 Sep 2002,09 Sep 2003,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,72.0,72.0,"30,000.00","50,350.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-4,"(281, '7538-4')",
221,221,7 5 3 8 - 4 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-4,",SIAP DENGAN: CFO PENUH,7538-4/2024/2003(09),10 Sep 2002,09 Sep 2003,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,72.0,72.0,"30,000.00","42,600.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-4,"(281, '7538-4')",
222,222,7 5 3 8 - 4 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-4,",SIAP DENGAN: CFO PENUH,7538-4/2024/2003(09),10 Sep 2002,09 Sep 2003,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,115.0,115.0,"30,000.00","49,400.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-4,"(281, '7538-4')",
223,223,7 5 3 8 - 4 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-4,",SIAP DENGAN: CFO PENUH,7538-4/2024/2003(09),10 Sep 2002,09 Sep 2003,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,100.0,100.0,"30,000.00","46,900.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-4,"(281, '7538-4')",
224,224,7 5 3 8 - 5 - T A M A N   R A K Y A T   H A R M O N I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-5,",SIAP DENGAN: CFO PENUH,-,-,-,"RM 30,000.00",0.00mps,RUMAH KEDAI (G),1.0,0,0,0,12.0,12.0,"85,000.00","99,990.00",100.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-5,"(282, '7538-5')",
225,225,7 5 3 8 - 5 - T A M A N   R A K Y A T   H A R M O N I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-5,",SIAP DENGAN: CFO PENUH,-,-,-,"RM 30,000.00",0.00mps,RUMAH SESEBUAH,1.0,0,0,0,2.0,2.0,"171,700.00","175,000.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-5,"(282, '7538-5')",
226,226,7 5 3 8 - 5 - T A M A N   R A K Y A T   H A R M O N I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-5,",SIAP DENGAN: CFO PENUH,-,-,-,"RM 30,000.00",0.00mps,RUMAH BERKEMBAR,1.0,0,0,0,42.0,42.0,"90,000.00","109,800.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-5,"(282, '7538-5')",
227,227,7 5 3 8 - 5 - T A M A N   R A K Y A T   H A R M O N I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-5,",SIAP DENGAN: CFO PENUH,-,-,-,"RM 30,000.00",0.00mps,RUMAH TERES,1.0,0,0,0,41.0,41.0,"30,000.00","43,200.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-5,"(282, '7538-5')",
228,228,7 5 3 8 - 5 - T A M A N   R A K Y A T   H A R M O N I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-5,",SIAP DENGAN: CFO PENUH,-,-,-,"RM 30,000.00",0.00mps,RUMAH KEDAI (G),2.0,0,0,0,6.0,6.0,"190,000.00","254,900.00",95.0,,,https://teduh.kpkt.gov.my/project-swasta/7538-5,"(282, '7538-5')",
229,229,7 5 3 8 - 6 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-6,",SIAP DENGAN: CCC PENUH,7538-6/02-2017/01390(P),22 Feb 2016,21 Feb 2017,"RM 58,800.00",0.00mps - 143.00mps,RUMAH TERES,1.0,0,0,143,41.0,0.0,"58,800.00","86,173.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-6,"(283, '7538-6')",
230,230,7 5 3 8 - 6 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-6,",SIAP DENGAN: CCC PENUH,7538-6/02-2017/01390(P),22 Feb 2016,21 Feb 2017,"RM 58,800.00",0.00mps - 143.00mps,RUMAH TERES,1.0,0,0,0,34.0,0.0,"115,000.00","174,000.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-6,"(283, '7538-6')",
231,231,7 5 3 8 - 6 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-6,",SIAP DENGAN: CCC PENUH,7538-6/02-2017/01390(P),22 Feb 2016,21 Feb 2017,"RM 58,800.00",0.00mps - 143.00mps,RUMAH TERES,1.0,0,0,143,44.0,0.0,"200,000.00","273,400.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-6,"(283, '7538-6')",
232,232,7 5 3 8 - 6 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-6,",SIAP DENGAN: CCC PENUH,7538-6/02-2017/01390(P),22 Feb 2016,21 Feb 2017,"RM 58,800.00",0.00mps - 143.00mps,RUMAH TERES,1.0,0,0,143,42.0,0.0,"212,000.00","255,600.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-6,"(283, '7538-6')",
233,233,7 5 3 8 - 6 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-6,",SIAP DENGAN: CCC PENUH,7538-6/02-2017/01390(P),22 Feb 2016,21 Feb 2017,"RM 58,800.00",0.00mps - 143.00mps,RUMAH TERES,1.0,0,0,143,7.0,0.0,"125,000.00","189,000.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-6,"(283, '7538-6')",
234,234,7 5 3 8 - 7 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-7,",SIAP DENGAN: CCC PENUH,7538-7/04-2023/0361(R)-(L),20 Apr 2022,19 Apr 2023,"RM 188,000.00",118.54mps - 141.13mps,RUMAH TERES,2.0,0,0,141,29.0,0.0,"220,400.00","287,000.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-7,"(480, '7538-7')",
235,235,7 5 3 8 - 7 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-7,",SIAP DENGAN: CCC PENUH,7538-7/04-2023/0361(R)-(L),20 Apr 2022,19 Apr 2023,"RM 188,000.00",118.54mps - 141.13mps,RUMAH TERES,1.0,0,0,141,27.0,0.0,"215,000.00","285,000.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-7,"(480, '7538-7')",
236,236,7 5 3 8 - 7 - T A M A N   R A K Y A T   B I S T A R I,KONSORTIUM PERUMAHAN RAKYAT TERENGGGANU SDN. BHD.,7538,7538/12-2028/1481(A),16 Dec 2023,15 Dec 2028,-,-,www.koperat.com.my,"7538-7,",SIAP DENGAN: CCC PENUH,7538-7/04-2023/0361(R)-(L),20 Apr 2022,19 Apr 2023,"RM 188,000.00",118.54mps - 141.13mps,RUMAH TERES,1.0,0,0,141,24.0,0.0,"215,000.00","265,000.00",100.0,"[""4.265095, 103.425200""]",,https://teduh.kpkt.gov.my/project-swasta/7538-7,"(480, '7538-7')",
