,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Status Projek,0,Location,Address,Link,Website Location,Page
63,1 2 1 - 1 3 - C E N D A N A,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-13,",SIAP DENGAN: CFO PENUH,121-13/334/2009(02),27-Feb-08,26-Feb-09,"RM1,360,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-13,4,11
64,1 2 1 - 1 4 - K O N D O M I N I U M   3 2 8   T U N   R A Z A K,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-14,",SIAP DENGAN: CCC PENUH,121-14/07-2017/01927(P),10-Jul-16,9-Jul-17,"RM720,000.00",0mps,,,,,,,,,,,,"[""3.162636, 101.718937""]",,https://teduh.kpkt.gov.my/project-swasta/121-14,4,12
65,1 2 1 - 6 - T A M A N   I P O H   T A M B A H A N   F A S A   1 4,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-6,",-,121/945/1993(08),7-Aug-92,6-Aug-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-6,4,13
66,1 2 1 - 7 - T A M A N   I P O H   T A M B A H A N   F A S A   1 5,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-7,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-7,4,14
67,1 2 1 - 8 - L O T   1 2 5 - 1 3 4,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-8,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-8,4,15
68,1 2 1 - 9 - T A M A N   C E M P A K A,IGB CORPORATION BERHAD,121,121-14/07-2017/01927(L),10-Jul-16,9-Jul-17,-,-,-,"121-9,",-,121/22/1988(01),10-Jan-87,9-Jan-88,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/121-9,4,16
69,1 5 8 - 1 - P I N A N G   C O U R T,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-1,",-,158/1240/1993(10),22-Oct-92,21-Oct-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/158-1,4,17
70,1 5 8 - 3 - B U K I T J A M B U L,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-3,",PERMIT TELAH DIBATALKAN,158-3/01-2020/01038(P),13-Jan-19,12-Jan-20,"RM968,000.00",0mps,,,,,,,,,,,,"[""5.338822, 100.279673""]",,https://teduh.kpkt.gov.my/project-swasta/158-3,4,18
71,1 5 8 - 4 - X X X,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-4,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/158-4,4,19
72,1 5 8 - 5 - S I E R R A   E A S T,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-5,",SIAP DENGAN: CCC PENUH,158-5/06-2018/01541(P),6-Jun-17,5-Jun-18,"RM50,000.00",0mps - 122mps,,,,,,,,,,,,"[""5.336637, 100.278234""]",,https://teduh.kpkt.gov.my/project-swasta/158-5,5,2
73,1 5 8 - 6 - S R I   A M A N   B L O K   G,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-6,",SIAP DENGAN: CFO PENUH,158-6/1841/2006(08),4-Aug-05,3-Aug-06,"RM70,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/158-6,5,3
74,1 5 8 - 7 - T A M A N   J A W A,CHONG COMPANY SDN BERHAD,158,158-7/06-2022/02222(L),18-Jun-21,17-Jun-22,-,-,-,"158-7,",PERMIT TELAH DIBATALKAN,158-7/05-2021/02077(P),31-May-20,30-May-21,"RM518,000.00",0mps,,,,,,,,,,,,"[""5.399575, 100.370498""]",,https://teduh.kpkt.gov.my/project-swasta/158-7,5,4
75,1 8 - 3 - T A M A N   M E W A H   ( P 3 ),BERKELEY SDN. BHD.,18,18/07-2027/0541(A),25-Jul-22,24-Jul-27,-,infobless@paramountproperty.my,-,"18-3,",-,18/109/1989(02),24-Feb-88,23-Feb-89,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/18-3,5,5
76,1 8 - 4 - U P T O W N   R E S I D E N C E S,BERKELEY SDN. BHD.,18,18/07-2027/0541(A),25-Jul-22,24-Jul-27,-,infobless@paramountproperty.my,-,"18-4,",LEWAT,18-4/07-2024/1105(R)-(S),25-Jul-23,24-Jul-24,"RM270,000.00",0mps - 148mps,,,,,,,,,,,,"[""3.055500, 101.443942""]",,https://teduh.kpkt.gov.my/project-swasta/18-4,5,6
77,2 0 9 - 1 0 - T A M A N   S A G A   E M A S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-10,",SIAP DENGAN: CFO PENUH,209-10/361/2008(02),15-Feb-07,14-Feb-08,"RM179,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-10,5,7
78,2 0 9 - 1 1 - T A M A N   A K A S I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-11,",SIAP DENGAN: CFO PENUH,209-11/1807/2006(07),1-Aug-05,31-Jul-06,"RM152,900.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-11,5,8
79,2 0 9 - 1 2 - T A M A N   R U,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-12,",PERMIT TELAH DIBATALKAN,209-12/2282/2008(10),25-Oct-07,24-Oct-08,"RM165,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-12,5,9
80,2 0 9 - 1 3 - T A M A N   B U K I T   R O S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-13,",-,-,-,-,"RM528,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-13,5,10
81,2 0 9 - 1 4 - S E K S Y E N   1 4     B A N D A R   B A R U   B A N G I,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-14,",SIAP DENGAN: CCC PENUH,209-14/1049/2010(05),26-May-09,25-May-10,"RM242,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-14,5,11
82,2 0 9 - 1 5 - T A M A N   R A M A L   S U R I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-15,",SIAP DENGAN: CCC PENUH,209-15/2652/2008(12),18-Dec-07,17-Dec-08,"RM388,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-15,5,12
83,2 0 9 - 1 6 - T A M A N   S A G A   E M A S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-16,",SIAP DENGAN: CCC PENUH,209-16/1769/2012(10),29-Oct-11,28-Oct-12,"RM199,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-16,5,13
84,2 0 9 - 1 7 - T A M A N   R A M A L   S U R I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-17,",SIAP DENGAN: CCC PENUH,209-17/2037/2011(10),20-Oct-10,19-Oct-11,"RM528,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-17,5,14
85,2 0 9 - 1 8 - T A M A N   S A G A   E M A S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-18,",SIAP DENGAN: CCC PENUH,209-18/2114/2011(10),29-Oct-10,28-Oct-11,"RM300,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-18,5,15
86,2 0 9 - 1 9 - T A M A N   S E N T O S A   I N D A H,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-19,",SIAP DENGAN: CCC PENUH,209-19/11-2014/0861(P),19-Nov-13,18-Nov-14,"RM700,000.00",0mps - 346mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-19,5,16
87,2 0 9 - 2 - D E S A   S R I   J E N A R I S   ( P 2 ),LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-2,",-,209/211/1997(03),2-Mar-96,1-Mar-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-2,5,17
88,2 0 9 - 2 0 - T A M A N   S E R I   M U T I A R A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-20,",SIAP DENGAN: CCC PENUH,209-20/669/2013(03),26-Mar-12,25-Mar-13,"RM792,000.00",266mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-20,5,18
89,2 0 9 - 2 1 - T A M A N   B U K I T   R O S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-21,",SIAP DENGAN: CCC PENUH,209-21/04-2017/01529(P),28-Apr-16,27-Apr-17,"RM1,238,000.00",275mps - 336mps,,,,,,,,,,,,"[""2.998810, 101.796550""]",,https://teduh.kpkt.gov.my/project-swasta/209-21,5,19
90,2 0 9 - 2 2 - T A M A N   R A M A L   S U R I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-22,",SIAP DENGAN: CCC PENUH,209-22/959/2013(04),26-Apr-12,25-Apr-13,"RM740,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-22,6,2
91,2 0 9 - 2 3 - T A M A N   B U K I T   R O S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-23,",SIAP DENGAN: CCC PENUH,209-23/04-2017/01453(P),12-Apr-16,11-Apr-17,"RM2,426,000.00",0mps - 441mps,,,,,,,,,,,,"[""2.999329, 101.795422""]",,https://teduh.kpkt.gov.my/project-swasta/209-23,6,3
92,2 0 9 - 2 4 - T A M A N   B U K I T   R O S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-24,",PERMIT TELAH DIBATALKAN,209-24/10-2017/0833(P),3-Oct-15,2-Oct-17,"RM1,788,000.00",0mps,,,,,,,,,,,,"[""2.998685, 101.796127""]",,https://teduh.kpkt.gov.my/project-swasta/209-24,6,4
93,2 0 9 - 2 5 - T A M A N   S E N T O S A   D A M A I,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-25,",SIAP DENGAN: CCC PENUH,209-25/07-2020/02331(P),7-Jul-19,6-Jul-20,"RM590,000.00",216mps - 330mps,,,,,,,,,,,,"[""2.911097, 101.749388""]",,https://teduh.kpkt.gov.my/project-swasta/209-25,6,5
94,2 0 9 - 2 6 - T A M A N   S E N T O S A   M E K A R,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-26,",SIAP DENGAN: CCC PENUH,209-26/03-2022/01321(P),8-Mar-21,7-Mar-22,"RM669,300.00",217mps,,,,,,,,,,,,"[""2.917727, 101.751729""]",,https://teduh.kpkt.gov.my/project-swasta/209-26,6,6
95,2 0 9 - 2 7 - T A M A N   S E N T O S A   D A M A I,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-27,",SIAP DENGAN: CCC PENUH,209-27/11-2022/03247(A)-(L),9-Nov-21,8-Nov-22,"RM770,000.00",239mps,,,,,,,,,,,,"[""2.911420, 101.750808""]",,https://teduh.kpkt.gov.my/project-swasta/209-27,6,7
96,2 0 9 - 2 8 - T A M A N   R A M A L   S U R I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-28,",BERJALAN LANCAR,209-28/01-2025/1775(R)-(L),27-Jan-24,26-Jan-25,"RM1,163,760.00",280mps,,,,,,,,,,,,"[""2.978319, 101.751966""]",,https://teduh.kpkt.gov.my/project-swasta/209-28,6,8
97,2 0 9 - 2 9 - T A M A N   S E N T O S A   D A M A I,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-29,",BERJALAN LANCAR,209-29/04-2025/0463(N)-(L),18-Apr-23,17-Apr-25,"RM848,000.00","2,500mps",,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-29,6,9
98,2 0 9 - 3 - P A N G S A P U R I   C A P R I,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-3,6,10
99,2 0 9 - 4 - T A M A N   M A J U,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-4,",-,209/923/1998(07),22-Jul-97,21-Jul-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-4,6,11
100,2 0 9 - 5 - D E S A   D A H L I A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-5,",-,209/1394/1998(10),16-Oct-97,15-Oct-98,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-5,6,12
101,2 0 9 - 6 - T A M A N   K E N A N G A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-6,",-,209/866/2002(05),16-May-01,15-May-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-6,6,13
102,2 0 9 - 7 - T A M A N   P U S A K A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-7,",-,209-7/214/2003(01),31-Jan-02,30-Jan-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-7,6,14
103,2 0 9 - 8 - T A M A N   R A M A L   R O S,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-8,",-,209-8/2109/2003(09),17-Sep-02,16-Sep-03,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-8,6,15
104,2 0 9 - 9 - T A M A N   B U N G A   R A Y A,LEE YEN KEE (M) SDN. BHD.,209,209/01-2028/0213(A),27-Jan-23,26-Jan-28,-,lyk_kjg@yahoo.com,-,"209-9,",-,209-9/1683/2006(03),18-Jul-05,24-Mar-06,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/209-9,6,16
105,2 6 3 - 1 - O . G .   H E I G H T S,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-1,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-1,6,17
106,2 6 3 - 1 0 - M O N T   K I A R A   A S T A N A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-10,",-,263/168/2000(02),10-Feb-99,9-Feb-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-10,6,18
107,2 6 3 - 1 1 - M O N T '   K I A R A   B A Y U,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-11,",SIAP DENGAN: CFO PENUH,263-11/718/2003(04),17-Apr-02,16-Apr-03,"RM218,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-11,6,19
108,2 6 3 - 1 2 - M O N T ' K I A R A   D A M A I,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-12,",SIAP DENGAN: CFO PENUH,263-12/2216/2003(10),2-Oct-02,1-Oct-03,"RM620,860.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-12,7,2
109,2 6 3 - 1 3 - T H E   R E S I D E N C E   ( M K 1 6 B ),SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-13,",SIAP DENGAN: CFO PENUH,263-13/1669/2009(08),28-Aug-08,27-Aug-09,"RM5,252,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-13,7,3
110,2 6 3 - 1 4 - T H E   R E S I D E N C E ( M K 1 6 B ),SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-14,",-,-,-,-,"RM6,460,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-14,7,4
111,2 6 3 - 1 5 - C S   2   @ P U T E R I   H A B O U R,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-15,",SIAP DENGAN: CCC PENUH,263-15/06-2017/02073(P),20-Jun-16,19-Jun-17,"RM444,000.00","339,324mps - 845,086mps",,,,,,,,,,,,"[""1.414473, 103.654165""]",,https://teduh.kpkt.gov.my/project-swasta/263-15,7,5
112,2 6 3 - 1 6 - R E S I D E N S I   S E F I N A   M O N T ' K I A R A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-16,",SIAP DENGAN: CCC PENUH,263-16/07-2019/02304(P),11-Jul-18,10-Jul-19,"RM1,301,000.00",139mps,,,,,,,,,,,,"[""3.170599, 101.649684""]",,https://teduh.kpkt.gov.my/project-swasta/263-16,7,6
113,2 6 3 - 2 - L O T   1 7 7 2 8   J A L A N   K A M P U N G   J A W A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-2,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-2,7,7
114,2 6 3 - 3 - L O T   8 4 7   -   8 5 1   &   1 0 0 3,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-3,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-3,7,8
115,2 6 3 - 4 - C A S C A D I U M,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-4,",-,263/809/1990(10),10-Oct-89,9-Oct-90,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-4,7,9
116,2 6 3 - 5 - T A M A N   S R I   B A H A G I A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-5,",SIAP DENGAN: CFO PENUH,263/1335/1993(11),13-Nov-92,12-Nov-93,"RM95,988.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-5,7,10
117,2 6 3 - 6 - M O N T   K I A R A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-6,",-,263/1289/1992(12),12-Dec-91,11-Dec-92,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-6,7,11
118,2 6 3 - 7 - X X X,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-7,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-7,7,12
119,2 6 3 - 8 - M O N T '   K I A R A   P E L A N G I,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-8,",SIAP DENGAN: CFO PENUH,-,-,-,"RM182,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-8,7,13
120,2 6 3 - 9 - M O N T '   K I A R A   S O P H I A,SUNRISE BERHAD,263,263-16/08-2022/02695(L),24-Aug-21,23-Aug-22,-,-,-,"263-9,",SIAP DENGAN: CFO PENUH,-,-,-,"RM388,000.00",0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/263-9,7,14
121,2 6 5 - 1 - T A M A N   P E R T A M A   F A S A   2 D,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-1,",-,265/485/1993(05),4-May-92,3-May-93,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-1,7,15
122,2 6 5 - 1 0 - T A M A N   P E R T A M A ( F A S A   2 5 ),KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-10,",-,265/377/1997(04),9-Apr-96,8-Apr-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-10,7,16
123,2 6 5 - 1 1 - T A M A N   P E R T A M A   ( F A S A   2 8 ),KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-11,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-11,7,17
124,2 6 5 - 1 2 - T A M A N   P E R T A M A   F A S A   2 4,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-12,",-,-,-,-,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-12,7,18
125,2 6 5 - 1 3 - T A M A N   P E R T A M A   (   F A S A   2 8   B   ),KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-13,",-,265/1656/2000(01),9-Jan-99,8-Jan-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-13,7,19
126,2 6 5 - 1 4 - ' T A M A N   P E R M A T A   ( F A S A   3 0 ) ',KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-14,",-,265/1556/1997(12),14-Dec-96,13-Dec-97,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-14,8,2
127,2 6 5 - 1 5 - ' T A M A N   P E R T A M A   ( F A S A   2 9 ) ',KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-15,",-,265/1525/1999(12),14-Dec-98,13-Dec-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-15,8,3
128,2 6 5 - 1 6 - T A M A N   P E R T A M A   F A S A   3 1,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-16,",-,265/1647/2000(12),17-Dec-99,16-Dec-00,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-16,8,4
129,2 6 5 - 1 7 - T A M A N   P E R T A M A   F A S A   3 0 B,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-17,",-,265/1527/1999(12),17-Dec-98,16-Dec-99,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-17,8,5
130,2 6 5 - 1 8 - T A M A N   P E R P A D U A N   J A Y A -   F A S A   1,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-18,",-,265/1214/2002(07),26-Jul-01,25-Jul-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-18,8,6
131,2 6 5 - 1 9 - T A M A N   P E R T A M A   F A S A   3 2,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-19,",-,265/1100/2001(06),27-Jun-00,26-Jun-01,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-19,8,7
132,"2 6 5 - 2 - T A M A N   P E R T A M A ,   F A S A   1 8 - 2 0",KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-2,",-,265/964/1994(09),7-Sep-93,6-Sep-94,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-2,8,8
133,2 6 5 - 2 0 - T A M A N   P E R P A D U A N   J A Y A   F A S A   2,KINTA PROPERTIES SDN.BERHAD.,265,265/01-2028/0335(A),12-Jan-23,11-Jan-28,52921333,donna@kintaproperties.com,-,"265-20,",-,265/2083/2002(11),16-Nov-01,15-Nov-02,RM0.00,0mps,,,,,,,,,,,,,,https://teduh.kpkt.gov.my/project-swasta/265-20,8,9
