,index,Nama Pemaju,Kod Pemaju,No. Lesen,Tarikh Mula Lesen,Tarikh Tamat Lesen,No. Telefon,Emel,Laman Web,Kod Pemajuan,Status Projek (Keseluruhan),No. Permit,Tarikh Mula Permit,Tarikh Tamat Permit,Harga Bermula,Keluasan,Jenis Rumah,Bil. Tingkat,Bil. Bilik,Bil. Tandas,Keluasan Binaan (mps),Bil. Unit,Anggaran Baki Unit,Harga Minimum (RM),Harga Maksimum (RM),Peratus Sebenar %,Location,Address,Link,Website Location
108,1 9 0 9 2 - 1 - M A X I M   M A J E S T I C,MAJESTIC MAXIM SDN. BHD.,19092,19092/07-2025/0498(R),01 Aug 2022,31 Jul 2025,0378865454,maxim@maximglobal.com.my,-,"19092-1,",SIAP DENGAN: CCC PENUH,19092-1/07-2022/02361(P),01 Aug 2021,31 Jul 2022,"RM 293,333.00",60.39mps,PANGSAPURI SERVIS,37,0,0,60,534,30,"293,333.00","477,632.00",100.00,"[""3.076700, 101.742100""]",,https://teduh.kpkt.gov.my/project-swasta/19092-1,"(309, '19092-1')"
109,1 9 0 9 2 - 1 - M A X I M   M A J E S T I C,MAJESTIC MAXIM SDN. BHD.,19092,19092/07-2025/0498(R),01 Aug 2022,31 Jul 2025,0378865454,maxim@maximglobal.com.my,-,"19092-1,",SIAP DENGAN: CCC PENUH,19092-1/07-2022/02361(P),01 Aug 2021,31 Jul 2022,"RM 293,333.00",60.39mps,PANGSAPURI SERVIS,37,0,0,60,534,0,"293,333.00","477,632.00",100.00,"[""3.076700, 101.742100""]",,https://teduh.kpkt.gov.my/project-swasta/19092-1,"(309, '19092-1')"
110,1 9 0 9 2 - 1 - M A X I M   M A J E S T I C,MAJESTIC MAXIM SDN. BHD.,19092,19092/07-2025/0498(R),01 Aug 2022,31 Jul 2025,0378865454,maxim@maximglobal.com.my,-,"19092-1,",SIAP DENGAN: CCC PENUH,19092-1/07-2022/02361(P),01 Aug 2021,31 Jul 2022,"RM 293,333.00",60.39mps,PANGSAPURI SERVIS,37,0,0,60,534,0,"293,333.00","477,632.00",100.00,"[""3.076700, 101.742100""]",,https://teduh.kpkt.gov.my/project-swasta/19092-1,"(309, '19092-1')"
111,1 9 1 0 2 - 1 - R E S I D E N S I   S O L A R I S   P A R Q,IBARAT DUTA SDN. BHD.,19102,19102/09-2027/1167(R),12 Sep 2022,11 Sep 2027,0327187788,s3.dev@uemsunrise.com,-,"19102-1,",SIAP DENGAN: CCC PENUH,19102-1/09-2023/0295(R)-(S),12 Sep 2022,11 Sep 2023,"RM 873,800.00",99.54mps,PANGSAPURI SERVIS,41,0,0,100,288,42,"873,800.00","2,968,800.00",100.00,"[""3.173816, 101.669104""]",,https://teduh.kpkt.gov.my/project-swasta/19102-1,"(310, '19102-1')"
112,1 9 1 0 2 - 1 - R E S I D E N S I   S O L A R I S   P A R Q,IBARAT DUTA SDN. BHD.,19102,19102/09-2027/1167(R),12 Sep 2022,11 Sep 2027,0327187788,s3.dev@uemsunrise.com,-,"19102-1,",SIAP DENGAN: CCC PENUH,19102-1/09-2023/0295(R)-(S),12 Sep 2022,11 Sep 2023,"RM 873,800.00",99.54mps,PANGSAPURI SERVIS,41,0,0,100,288,51,"918,800.00","2,968,800.00",100.00,"[""3.173816, 101.669104""]",,https://teduh.kpkt.gov.my/project-swasta/19102-1,"(310, '19102-1')"
113,1 9 1 0 8 - 1 - P A V I L I O N   E M B A S S Y,PEDOMAN IKHTISAS SDN. BHD.,19108,19108/01-2026/0175(R),01 Feb 2023,31 Jan 2026,-,-,-,"19108-1,",SIAP DENGAN: CCC PENUH,19108-1/09-2023/0458(R)-(S),03 Sep 2022,02 Sep 2023,"RM 1,139,000.00",0.00mps - 112.50mps,PANGSAPURI SERVIS,32,0,0,0 - 72,64,0,"1,139,000.00","1,502,400.00",100.00,"[""3.160532, 101.723254""]",,https://teduh.kpkt.gov.my/project-swasta/19108-1,"(311, '19108-1')"
114,1 9 1 0 8 - 1 - P A V I L I O N   E M B A S S Y,PEDOMAN IKHTISAS SDN. BHD.,19108,19108/01-2026/0175(R),01 Feb 2023,31 Jan 2026,-,-,-,"19108-1,",SIAP DENGAN: CCC PENUH,19108-1/09-2023/0458(R)-(S),03 Sep 2022,02 Sep 2023,"RM 1,139,000.00",0.00mps - 112.50mps,PANGSAPURI SERVIS,32,2,2,0 - 102,126,0,"1,584,000.00","2,077,200.00",100.00,"[""3.160532, 101.723254""]",,https://teduh.kpkt.gov.my/project-swasta/19108-1,"(311, '19108-1')"
115,1 9 1 0 8 - 1 - P A V I L I O N   E M B A S S Y,PEDOMAN IKHTISAS SDN. BHD.,19108,19108/01-2026/0175(R),01 Feb 2023,31 Jan 2026,-,-,-,"19108-1,",SIAP DENGAN: CCC PENUH,19108-1/09-2023/0458(R)-(S),03 Sep 2022,02 Sep 2023,"RM 1,139,000.00",0.00mps - 112.50mps,PANGSAPURI SERVIS,32,0,0,0 - 113,128,0,"1,690,000.00","2,287,200.00",100.00,"[""3.160532, 101.723254""]",,https://teduh.kpkt.gov.my/project-swasta/19108-1,"(311, '19108-1')"
116,1 9 1 1 7 - 1 - C I T I Z E N   2   @   O L D   K L A N G   R O A D,CONCORD SPRINGS DEVELOPMENT SDN. BHD.,19117,19117/08-2023/1014(R),24 Aug 2022,23 Aug 2023,-,-,www.binastra.com.my,"19117-1,",SIAP DENGAN: CCC PENUH,19117-1/08-2019/0645(P),24 Aug 2017,23 Aug 2019,"RM 488,800.00",725.00mps,PANGSAPURI SERVIS,41,0,0,725,284,0,"488,800.00","645,800.00",100.00,"[""3.082907, 101.660957""]",,https://teduh.kpkt.gov.my/project-swasta/19117-1,"(312, '19117-1')"
117,1 9 1 1 7 - 1 - C I T I Z E N   2   @   O L D   K L A N G   R O A D,CONCORD SPRINGS DEVELOPMENT SDN. BHD.,19117,19117/08-2023/1014(R),24 Aug 2022,23 Aug 2023,-,-,www.binastra.com.my,"19117-1,",SIAP DENGAN: CCC PENUH,19117-1/08-2019/0645(P),24 Aug 2017,23 Aug 2019,"RM 488,800.00",725.00mps,PANGSAPURI SERVIS,42,0,0,725,260,2,"508,800.00","645,800.00",100.00,"[""3.082907, 101.660957""]",,https://teduh.kpkt.gov.my/project-swasta/19117-1,"(312, '19117-1')"
118,1 9 1 1 7 - 1 - C I T I Z E N   2   @   O L D   K L A N G   R O A D,CONCORD SPRINGS DEVELOPMENT SDN. BHD.,19117,19117/08-2023/1014(R),24 Aug 2022,23 Aug 2023,-,-,www.binastra.com.my,"19117-1,",SIAP DENGAN: CCC PENUH,19117-1/08-2019/0645(P),24 Aug 2017,23 Aug 2019,"RM 488,800.00",725.00mps,PANGSAPURI SERVIS,42,0,0,725,293,1,"488,800.00","645,800.00",100.00,"[""3.082907, 101.660957""]",,https://teduh.kpkt.gov.my/project-swasta/19117-1,"(312, '19117-1')"
119,1 9 1 2 2 - 1 - R E S I D E N S I   P A R C   3,TITIAN SAMA SDN. BHD.,19122,19122/07-2028/0946(A),23 Jul 2023,22 Jul 2028,0376100636,eupemarketingkl@gmail.com,-,"19122-1,",SIAP DENGAN: CCC PENUH,19122-1/08-2022/02500(P),29 Aug 2021,28 Aug 2022,"RM 425,000.00","66,379.97mps",PANGSAPURI SERVIS,39,0,0,"66,380",793,173,"425,000.00","1,294,000.00",100.00,"[""3.121185, 101.730271""]",,https://teduh.kpkt.gov.my/project-swasta/19122-1,"(313, '19122-1')"
120,1 9 1 2 9 - 1 - R E S I D E N S I   D E S A   S A T U M A S,GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-1,",SIAP DENGAN: CCC PENUH,19129-1/09-2021/03057(P),08 Sep 2020,07 Sep 2021,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,34,0,0,79,440,0,"230,000.00","230,000.00",100.00,"[""3.098190, 101.690518""]",,https://teduh.kpkt.gov.my/project-swasta/19129-1,"(314, '19129-1')"
121,1 9 1 2 9 - 1 - R E S I D E N S I   D E S A   S A T U M A S,GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-1,",SIAP DENGAN: CCC PENUH,19129-1/09-2021/03057(P),08 Sep 2020,07 Sep 2021,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,35,0,0,79,453,0,"230,000.00","230,000.00",100.00,"[""3.098190, 101.690518""]",,https://teduh.kpkt.gov.my/project-swasta/19129-1,"(314, '19129-1')"
122,1 9 1 2 9 - 1 - R E S I D E N S I   D E S A   S A T U M A S,GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-1,",SIAP DENGAN: CCC PENUH,19129-1/09-2021/03057(P),08 Sep 2020,07 Sep 2021,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,35,0,0,79,453,0,"230,000.00","230,000.00",100.00,"[""3.098190, 101.690518""]",,https://teduh.kpkt.gov.my/project-swasta/19129-1,"(314, '19129-1')"
123,"1 9 1 2 9 - 2 - R E S I D E N S I   D E S A   S E N T R A L M A S ,   T H E   H I P S T E R",GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-2,",SIAP DENGAN: CCC PENUH,19129-2/12-2022/0838(P),19 Dec 2020,18 Dec 2022,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,35,0,0,79,450,271,"487,000.00","993,000.00",100.00,"[""3.097886, 101.689830""]",,https://teduh.kpkt.gov.my/project-swasta/19129-2,"(315, '19129-2')"
124,"1 9 1 2 9 - 2 - R E S I D E N S I   D E S A   S E N T R A L M A S ,   T H E   H I P S T E R",GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-2,",SIAP DENGAN: CCC PENUH,19129-2/12-2022/0838(P),19 Dec 2020,18 Dec 2022,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,23,0,0,79,298,288,"230,000.00","230,000.00",100.00,"[""3.097886, 101.689830""]",,https://teduh.kpkt.gov.my/project-swasta/19129-2,"(315, '19129-2')"
125,"1 9 1 2 9 - 2 - R E S I D E N S I   D E S A   S E N T R A L M A S ,   T H E   H I P S T E R",GARUDA SEARAH SDN. BHD.,19129,19129/12-2027/1509(R),19 Dec 2022,18 Dec 2027,-,-,-,"19129-2,",SIAP DENGAN: CCC PENUH,19129-2/12-2022/0838(P),19 Dec 2020,18 Dec 2022,"RM 230,000.00",78.97mps,RUMAH PANGSA/KONDO,35,0,0,79,450,424,"478,000.00","1,013,000.00",100.00,"[""3.097886, 101.689830""]",,https://teduh.kpkt.gov.my/project-swasta/19129-2,"(315, '19129-2')"
126,1 9 1 4 9 - 1 - L E G E N D   H E I G H T S,JL99 LAND SDN. BHD.,19149,19149-1/10-2021/03262(L),11 Oct 2020,10 Oct 2021,-,-,-,"19149-1,",SIAP DENGAN: CCC PENUH,19149-1/10-2020/03041(P),11 Oct 2019,10 Oct 2020,"RM 788,500.00",125.40mps,PANGSAPURI SERVIS,39,0,0,125,310,5,"788,500.00","1,113,750.00",100.00,"[""3.197869, 101.656464""]",,https://teduh.kpkt.gov.my/project-swasta/19149-1,"(316, '19149-1')"
127,1 9 1 4 9 - 1 - L E G E N D   H E I G H T S,JL99 LAND SDN. BHD.,19149,19149-1/10-2021/03262(L),11 Oct 2020,10 Oct 2021,-,-,-,"19149-1,",SIAP DENGAN: CCC PENUH,19149-1/10-2020/03041(P),11 Oct 2019,10 Oct 2020,"RM 788,500.00",125.40mps,PANGSAPURI SERVIS,39,0,0,125,248,0,"788,500.00","1,200,000.00",100.00,"[""3.197869, 101.656464""]",,https://teduh.kpkt.gov.my/project-swasta/19149-1,"(316, '19149-1')"
128,1 9 1 7 4 - 1 - M E D A N   C O N N A U G H T,ACCOLADE LAND SDN. BHD.,19174,19174/11-2025/1448(R),26 Nov 2022,25 Nov 2025,-,accoladeland@gmail.com,-,"19174-1,",SIAP DENGAN: CCC PENUH,19174-1/10-2020/03016(P),10 Oct 2019,09 Oct 2020,"RM 364,000.00",89.00mps,PANGSAPURI SERVIS,27,0,0,89,258,29,"364,000.00","1,056,500.00",100.00,"[""3.076187, 101.744493""]",,https://teduh.kpkt.gov.my/project-swasta/19174-1,"(317, '19174-1')"
129,1 9 1 8 1 - 1 - R E S I D E N S I   S E L A Y A N G   D A M A I,TOPVIEW HOUSING SDN. BHD.,19181,19181/10-2025/1382(R),27 Oct 2022,26 Oct 2025,-,-,-,"19181-1,",SIAP DENGAN: CCC PENUH,19181-1/10-2020/03133(P),24 Oct 2019,23 Oct 2020,"RM 300,000.00",74.32mps,RUMAH PANGSA/KONDO,30,0,0,74,304,27,"300,000.00","300,000.00",100.00,"[""3.238234, 101.660892""]",,https://teduh.kpkt.gov.my/project-swasta/19181-1,"(318, '19181-1')"
130,1 9 1 9 6 - 1 - S E R E N E   M O N T   K I A R A,QIANA DEVELOPMENT SDN. BHD.,19196,19196/11-2025/1416(R),22 Nov 2022,21 Nov 2025,-,serene.montkiara@impianaland.com,-,"19196-1,",SIAP DENGAN: CCC PENUH,19196-1/11-2022/03331(P),22 Nov 2021,21 Nov 2022,"RM 2,274,000.00",262.00mps - 703.00mps,RUMAH BERKEMBAR,3,0,0,443,30,3,"3,721,000.00","4,352,000.00",100.00,"[""3.170446, 101.638077""]",,https://teduh.kpkt.gov.my/project-swasta/19196-1,"(319, '19196-1')"
131,1 9 1 9 6 - 1 - S E R E N E   M O N T   K I A R A,QIANA DEVELOPMENT SDN. BHD.,19196,19196/11-2025/1416(R),22 Nov 2022,21 Nov 2025,-,serene.montkiara@impianaland.com,-,"19196-1,",SIAP DENGAN: CCC PENUH,19196-1/11-2022/03331(P),22 Nov 2021,21 Nov 2022,"RM 2,274,000.00",262.00mps - 703.00mps,RUMAH BANDAR,2,0,0,262,38,18,"2,274,000.00","2,420,000.00",100.00,"[""3.170446, 101.638077""]",,https://teduh.kpkt.gov.my/project-swasta/19196-1,"(319, '19196-1')"
132,1 9 1 9 6 - 1 - S E R E N E   M O N T   K I A R A,QIANA DEVELOPMENT SDN. BHD.,19196,19196/11-2025/1416(R),22 Nov 2022,21 Nov 2025,-,serene.montkiara@impianaland.com,-,"19196-1,",SIAP DENGAN: CCC PENUH,19196-1/11-2022/03331(P),22 Nov 2021,21 Nov 2022,"RM 2,274,000.00",262.00mps - 703.00mps,RUMAH SESEBUAH,2,0,0,703,24,9,"6,757,000.00","8,372,000.00",100.00,"[""3.170446, 101.638077""]",,https://teduh.kpkt.gov.my/project-swasta/19196-1,"(319, '19196-1')"
133,1 9 1 9 6 - 1 - S E R E N E   M O N T   K I A R A,QIANA DEVELOPMENT SDN. BHD.,19196,19196/11-2025/1416(R),22 Nov 2022,21 Nov 2025,-,serene.montkiara@impianaland.com,-,"19196-1,",SIAP DENGAN: CCC PENUH,19196-1/11-2022/03331(P),22 Nov 2021,21 Nov 2022,"RM 2,274,000.00",262.00mps - 703.00mps,RUMAH TERES,3,0,0,296,63,23,"2,638,000.00","3,332,000.00",100.00,"[""3.170446, 101.638077""]",,https://teduh.kpkt.gov.my/project-swasta/19196-1,"(319, '19196-1')"
134,1 9 2 0 3 - 1 - S E M A R A K 2 0,FELCRA PROPERTIES SDN. BHD.,19203,19203/11-2026/1176(R),12 Nov 2021,11 Nov 2026,-,faizul.felcrafpsb@gmail.com,WWW.FELCRAPROPERTIES.COM.MY,"19203-1,",PERMIT TELAH DIBATALKAN,19203-1/11-2019/0900(P),07 Nov 2017,06 Nov 2019,"RM 728,000.00",0.00mps,PANGSAPURI SERVIS,43,0,0,0,480,479,"728,000.00","1,523,750.00",30.35,"[""3.169646, 101.717138""]",,https://teduh.kpkt.gov.my/project-swasta/19203-1,"(320, '19203-1')"
135,1 9 2 0 8 - 1 - R E S I D E N S I   U N I O,AIKBEE DEVELOPMENT (KEPONG) SDN. BHD.,19208,19208/12-2025/0467(R),13 Dec 2022,12 Dec 2025,-,-,-,"19208-1,",SIAP DENGAN: CCC PENUH,19208-1/12-2022/03547(P),13 Dec 2021,12 Dec 2022,"RM 413,600.00",866.00mps,PANGSAPURI SERVIS,38,0,0,866,520,22,"413,600.00","1,200,000.00",100.00,"[""3.209000, 101.651500""]",,https://teduh.kpkt.gov.my/project-swasta/19208-1,"(321, '19208-1')"
136,1 9 2 0 9 - 1 - A V A R A   S E P U T E H,BA SHENG SDN. BHD.,19209,19209/01-2026/1350(R),05 Jan 2023,04 Jan 2026,-,-,-,"19209-1,",SIAP DENGAN: CCC PENUH,19209-1/01-2023/01023(P),05 Jan 2022,04 Jan 2023,"RM 731,250.00",83.24mps,PANGSAPURI SERVIS,35,0,0,83,366,91,"731,250.00","1,328,750.00",100.00,"[""3.113094, 101.679147""]",,https://teduh.kpkt.gov.my/project-swasta/19209-1,"(322, '19209-1')"
137,1 9 2 2 1 - 1 - R I A N A   D U T A M A S,368 SEGAMBUT SDN. BHD.,19221,19221/02-2028/0265(R),22 Feb 2023,21 Feb 2028,0361792002,wongcp@ijm.com,-,"19221-1,",SIAP DENGAN: CCC PENUH,19221-1/11-2021/03430(P),17 Nov 2020,16 Nov 2021,"RM 532,800.00",60.67mps,PANGSAPURI SERVIS,37,0,0,61,509,4,"548,800.00","1,031,800.00",100.00,"[""3.184439, 101.668069""]",,https://teduh.kpkt.gov.my/project-swasta/19221-1,"(323, '19221-1')"
138,1 9 2 2 1 - 1 - R I A N A   D U T A M A S,368 SEGAMBUT SDN. BHD.,19221,19221/02-2028/0265(R),22 Feb 2023,21 Feb 2028,0361792002,wongcp@ijm.com,-,"19221-1,",SIAP DENGAN: CCC PENUH,19221-1/11-2021/03430(P),17 Nov 2020,16 Nov 2021,"RM 532,800.00",60.67mps,PANGSAPURI SERVIS,37,0,0,61,509,0,"532,800.00","1,004,800.00",100.00,"[""3.184439, 101.668069""]",,https://teduh.kpkt.gov.my/project-swasta/19221-1,"(323, '19221-1')"
139,1 9 2 2 8 - 1 - M   C E N T U R A,COSMOWEALTH HOUSING DEVELOPMENT SDN. BHD.,19228,19228/02-2028/0419(R),22 Feb 2023,21 Feb 2028,60392216888,cy.wong@mahsing.com.my,-,"19228-1,",SIAP DENGAN: CCC PENUH,19228-1/11-2022/03374(P),29 Nov 2021,28 Nov 2022,"RM 328,700.00",60.02mps,PANGSAPURI SERVIS,46,0,0,60,610,7,"513,800.00","731,500.00",100.00,"[""3.203369, 101.690308""]",,https://teduh.kpkt.gov.my/project-swasta/19228-1,"(324, '19228-1')"
140,1 9 2 2 8 - 1 - M   C E N T U R A,COSMOWEALTH HOUSING DEVELOPMENT SDN. BHD.,19228,19228/02-2028/0419(R),22 Feb 2023,21 Feb 2028,60392216888,cy.wong@mahsing.com.my,-,"19228-1,",SIAP DENGAN: CCC PENUH,19228-1/11-2022/03374(P),29 Nov 2021,28 Nov 2022,"RM 328,700.00",60.02mps,PANGSAPURI SERVIS,47,0,0,60,803,7,"328,700.00","798,795.00",100.00,"[""3.203369, 101.690308""]",,https://teduh.kpkt.gov.my/project-swasta/19228-1,"(324, '19228-1')"
141,1 9 2 6 1 - 1 - 2 1 6   R E S I D E N C E S,PEMBINAAN ANGKASA PERMAI SDN. BHD.,19261,19261/01-2025/0093(A),29 Jan 2022,28 Jan 2025,-,-,-,"19261-1,",SIAP DENGAN: CCC PENUH,19261-1/01-2024/0953(R)-(S),30 Dec 2019,28 Jan 2024,"RM 300,000.00",74.50mps,PANGSAPURI SERVIS,30,0,0,75,216,27,"300,000.00","1,668,600.00",100.00,"[""3.091414, 101.682861""]",,https://teduh.kpkt.gov.my/project-swasta/19261-1,"(325, '19261-1')"
142,"1 9 2 6 9 - 1 - T H E   O O A K ,   S E R V I C E D   A P A R T M E N T S ,   K I A R A   1 6 3",D'KIARA PLACE SDN. BHD.,19269,19269-1/02-2023/01285(L),16 Feb 2022,15 Feb 2023,-,-,-,"19269-1,",SIAP DENGAN: CCC PENUH,19269-1/02-2022/01262(P),16 Feb 2021,15 Feb 2022,"RM 907,800.00",696.00mps,PANGSAPURI SERVIS,34,0,0,696,336,8,"907,800.00","1,538,800.00",100.00,"[""3.166409, 101.652586""]",,https://teduh.kpkt.gov.my/project-swasta/19269-1,"(326, '19269-1')"
143,1 9 2 7 4 - 1 - R E S I D E N S I   S A M B U N G A N   S E L A T A N,CITRA JAYA SEJAHTERA SDN. BHD.,19274,19274/01-2026/0215(R),25 Jan 2023,24 Jan 2026,-,-,-,"19274-1,",SIAP DENGAN: CCC PENUH,19274-1/01-2022/01090(P),25 Jan 2021,24 Jan 2022,"RM 397,300.00",105.00mps,PANGSAPURI SERVIS,44,0,0,105,"1,422",34,"397,300.00","1,340,800.00",100.00,"[""3.113276, 101.665456""]",,https://teduh.kpkt.gov.my/project-swasta/19274-1,"(327, '19274-1')"
144,1 9 2 8 3 - 1 - I N S P I R A S I   M O N T   K I A R A,ALIF MESRA SDN. BHD.,19283,19283/03-2026/0655(R),04 Mar 2023,03 Mar 2026,-,-,-,"19283-1,",SIAP DENGAN: CCC PENUH,19283-1/03-2023/01472(P),04 Mar 2022,03 Mar 2023,"RM 902,800.00",87.32mps,PANGSAPURI SERVIS,44,0,0,87,320,8,"918,000.00","1,245,700.00",100.00,"[""3.178394, 101.650358""]",,https://teduh.kpkt.gov.my/project-swasta/19283-1,"(328, '19283-1')"
145,1 9 2 8 3 - 1 - I N S P I R A S I   M O N T   K I A R A,ALIF MESRA SDN. BHD.,19283,19283/03-2026/0655(R),04 Mar 2023,03 Mar 2026,-,-,-,"19283-1,",SIAP DENGAN: CCC PENUH,19283-1/03-2023/01472(P),04 Mar 2022,03 Mar 2023,"RM 902,800.00",87.32mps,PANGSAPURI SERVIS,44,0,0,87,320,7,"902,800.00","1,346,100.00",100.00,"[""3.178394, 101.650358""]",,https://teduh.kpkt.gov.my/project-swasta/19283-1,"(328, '19283-1')"
146,1 9 2 9 8 - 1 - R E S I D E N S I   C O M O,MAISON ROUGE SDN. BHD.,19298,19298-1/09-2022/02787(L),09 Sep 2021,08 Sep 2022,-,-,www.merakiland.com.my,"19298-1,",SAKIT,19298-1/09-2022/02787(P),09 Sep 2021,08 Sep 2022,"RM 924,418.00","1,565.00mps",RUMAH PANGSA/KONDO,39,0,0,"1,565",320,241,"924,418.00","2,642,728.00",5.00,"[""3.060833, 101.658869""]",,https://teduh.kpkt.gov.my/project-swasta/19298-1,"(329, '19298-1')"
147,1 9 3 0 1 - 1 - E L I T E   W O R L D   D E V E L O P M E N T   S D N .   B H D .,ELITE WORLD DEVELOPMENT SDN. BHD.,19301,19301-1/02-2021/01505(L),07 Feb 2020,06 Feb 2021,-,joe.tan@cpiland.com,www.cpiland.com,"19301-1,",SIAP DENGAN: CCC PENUH,19301-1/02-2020/0128(P),07 Feb 2018,06 Feb 2020,"RM 531,800.00",81.57mps,RUMAH PANGSA/KONDO,35,0,0,82,577,0,"531,800.00","855,800.00",100.00,"[""3.195421, 101.670254""]",,https://teduh.kpkt.gov.my/project-swasta/19301-1,"(330, '19301-1')"
148,1 9 3 1 0 - 1 - R E S I D E N S I   P U N C H A K   T T D I,THE PINNACLE HEIGHTS SDN. BHD.,19310,19310/02-2026/1575(R),13 Feb 2020,12 Feb 2026,0380709498,sophia18.wzr@gmail.com,-,"19310-1,",PERMIT TELAH DIBATALKAN,19310-1/02-2020/0150(P),13 Feb 2018,12 Feb 2020,"RM 2,751,529.00",0.00mps,RUMAH BERKEMBAR,3,0,0,0,16,16,"2,751,529.00","2,973,153.00",0.00,,,https://teduh.kpkt.gov.my/project-swasta/19310-1,"(331, '19310-1')"
149,1 9 3 1 0 - 1 - R E S I D E N S I   P U N C H A K   T T D I,THE PINNACLE HEIGHTS SDN. BHD.,19310,19310/02-2026/1575(R),13 Feb 2020,12 Feb 2026,0380709498,sophia18.wzr@gmail.com,-,"19310-1,",PERMIT TELAH DIBATALKAN,19310-1/02-2020/0150(P),13 Feb 2018,12 Feb 2020,"RM 2,751,529.00",0.00mps,RUMAH SESEBUAH,3,0,0,0,4,4,"4,550,909.00","5,267,357.00",0.00,,,https://teduh.kpkt.gov.my/project-swasta/19310-1,"(331, '19310-1')"
150,1 9 3 1 8 - 1 - M   V E R T I C A,M VERTICA SDN. BHD.,19318,19318/03-2025/0001(R),03 Dec 2021,03 Mar 2025,-,-,-,"19318-1,",SIAP DENGAN: CCC PENUH,19318-1/03-2024/0691(R)-(S),04 Mar 2023,03 Mar 2024,"RM 432,060.00",0.00mps - 850.00mps,PANGSAPURI SERVIS,53,0,0,0 - 850,685,56,"438,710.00","758,800.00",100.00,"[""3.118504, 101.727870""]",,https://teduh.kpkt.gov.my/project-swasta/19318-1,"(332, '19318-1')"
151,1 9 3 1 8 - 1 - M   V E R T I C A,M VERTICA SDN. BHD.,19318,19318/03-2025/0001(R),03 Dec 2021,03 Mar 2025,-,-,-,"19318-1,",SIAP DENGAN: CCC PENUH,19318-1/03-2024/0691(R)-(S),04 Mar 2023,03 Mar 2024,"RM 432,060.00",0.00mps - 850.00mps,PANGSAPURI SERVIS,54,0,0,0 - 850,808,40,"432,060.00","758,800.00",100.00,"[""3.118504, 101.727870""]",,https://teduh.kpkt.gov.my/project-swasta/19318-1,"(332, '19318-1')"
152,1 9 3 6 5 - 1 - L I M   L E G A C Y   D E V E L O P M E N T   S D N .   B H D .,LIM LEGACY DEVELOPMENT SDN. BHD.,19365,19365/04-2027/0290(R),07 Apr 2022,30 Apr 2027,-,-,-,"19365-1,",SIAP DENGAN: CCC PENUH,19365-1/03-2023/0281(R)-(S),28 Mar 2022,27 Mar 2023,"RM 645,720.00",84.00mps,PANGSAPURI SERVIS,43,0,0,84,339,116,"645,720.00","1,046,436.00",100.00,"[""3.090307, 101.673862""]",,https://teduh.kpkt.gov.my/project-swasta/19365-1,"(333, '19365-1')"
153,1 9 3 6 5 - 1 - L I M   L E G A C Y   D E V E L O P M E N T   S D N .   B H D .,LIM LEGACY DEVELOPMENT SDN. BHD.,19365,19365/04-2027/0290(R),07 Apr 2022,30 Apr 2027,-,-,-,"19365-1,",SIAP DENGAN: CCC PENUH,19365-1/03-2023/0281(R)-(S),28 Mar 2022,27 Mar 2023,"RM 645,720.00",84.00mps,PANGSAPURI SERVIS,44,0,0,84,339,113,"776,583.00","1,020,300.00",100.00,"[""3.090307, 101.673862""]",,https://teduh.kpkt.gov.my/project-swasta/19365-1,"(333, '19365-1')"
154,1 9 3 6 5 - 2 - M I L L E R Z   S Q U A R E   @   O L D   K L A N G   R O A D,LIM LEGACY DEVELOPMENT SDN. BHD.,19365,19365/04-2027/0290(R),07 Apr 2022,30 Apr 2027,-,-,-,"19365-2,",SIAP DENGAN: CCC PENUH,19365-2/04-2023/0141(A)-(S),01 May 2022,30 Apr 2023,"RM 653,480.00",0.00mps - 65.00mps,PANGSAPURI SERVIS,45,0,0,0 - 65,502,262,"653,480.00","911,616.00",100.00,"[""3.090307, 101.673862""]",,https://teduh.kpkt.gov.my/project-swasta/19365-2,"(334, '19365-2')"
155,1 9 3 6 5 - 3 - L I M   L E G A C Y   D E V E L O P M E N T   S D N .   B H D .,LIM LEGACY DEVELOPMENT SDN. BHD.,19365,19365/04-2027/0290(R),07 Apr 2022,30 Apr 2027,-,-,-,"19365-3,",SIAP DENGAN: CCC PENUH,19365-3/04-2023/0526(R)-(S),01 May 2022,30 Apr 2023,"RM 632,300.00",70.00mps,PANGSAPURI SERVIS,45,0,0,70,453,290,"632,300.00","1,077,081.00",100.00,"[""3.090307, 101.673862""]",,https://teduh.kpkt.gov.my/project-swasta/19365-3,"(335, '19365-3')"
